Time	Untitled
12/2/2014 16:43:52.158	19
12/2/2014 16:43:53.158	27
12/2/2014 16:43:54.158	24
12/2/2014 16:43:55.158	23
12/2/2014 16:43:56.158	20
12/2/2014 16:43:57.158	39
12/2/2014 16:43:58.158	27
12/2/2014 16:43:59.158	17
12/2/2014 16:44:00.158	27
12/2/2014 16:44:01.158	21
12/2/2014 16:44:02.158	27
12/2/2014 16:44:03.158	36
12/2/2014 16:44:04.158	27
12/2/2014 16:44:05.158	22
12/2/2014 16:44:06.158	23
12/2/2014 16:44:07.158	14
12/2/2014 16:44:08.158	35
12/2/2014 16:44:09.158	25
12/2/2014 16:44:10.158	28
12/2/2014 16:44:11.158	22
12/2/2014 16:44:12.158	25
12/2/2014 16:44:13.158	22
12/2/2014 16:44:14.158	32
12/2/2014 16:44:15.158	28
12/2/2014 16:44:16.158	27
12/2/2014 16:44:17.158	27
12/2/2014 16:44:18.158	18
12/2/2014 16:44:19.158	18
12/2/2014 16:44:20.158	16
12/2/2014 16:44:21.158	21
12/2/2014 16:44:22.158	31
12/2/2014 16:44:23.158	19
12/2/2014 16:44:24.158	23
12/2/2014 16:44:25.158	19
12/2/2014 16:44:26.158	30
12/2/2014 16:44:27.158	27
12/2/2014 16:44:28.158	25
12/2/2014 16:44:29.158	33
12/2/2014 16:44:30.158	28
12/2/2014 16:44:31.158	26
12/2/2014 16:44:32.158	33
12/2/2014 16:44:33.158	24
12/2/2014 16:44:34.158	25
12/2/2014 16:44:35.158	22
12/2/2014 16:44:36.158	21
12/2/2014 16:44:37.158	26
12/2/2014 16:44:38.158	26
12/2/2014 16:44:39.158	24
12/2/2014 16:44:40.158	27
12/2/2014 16:44:41.158	19
12/2/2014 16:44:42.158	22
12/2/2014 16:44:43.158	23
12/2/2014 16:44:44.158	17
12/2/2014 16:44:45.158	17
12/2/2014 16:44:46.158	26
12/2/2014 16:44:47.158	18
12/2/2014 16:44:48.158	33
12/2/2014 16:44:49.158	25
12/2/2014 16:44:50.158	21
12/2/2014 16:44:51.158	24
12/2/2014 16:44:52.158	16
12/2/2014 16:44:53.158	19
12/2/2014 16:44:54.158	24
12/2/2014 16:44:55.158	28
12/2/2014 16:44:56.158	23
12/2/2014 16:44:57.158	20
12/2/2014 16:44:58.158	27
12/2/2014 16:44:59.158	27
12/2/2014 16:45:00.158	30
12/2/2014 16:45:01.158	22
12/2/2014 16:45:02.158	21
12/2/2014 16:45:03.158	15
12/2/2014 16:45:04.158	23
12/2/2014 16:45:05.158	21
12/2/2014 16:45:06.158	19
12/2/2014 16:45:07.158	22
